"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Literary Legacy of Arabs","120
001","","12","3.045","33.3","8.3","25.0",".","16.7","8.3",".",".",".",".",".",".",".",".","8.3","."
"Intro-Swahili Culture","130
001","","31","3.742","48.4","51.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Lang and Lit","201
001","","37","3.054","18.9","21.6","29.7","21.6","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","","109","2.623","8.3","17.4","20.2","15.6","27.5","6.4","1.8","2.8",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","","17","2.618","17.6","5.9","17.6","23.5","29.4",".","5.9",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","60","3.178","13.3","33.3","28.3","21.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"African Lit in Translation","300
001","","17","3.313","41.2","17.6","17.6","5.9","5.9","5.9",".",".",".",".",".",".","5.9",".",".","."
"","322
001","","17","3.596","41.2","29.4","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","322
002","","16","3.763","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","19","3.337","42.1","26.3","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","322
004","","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","322
005","","12","3.542","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","","74","3.543","47.3","28.4","14.9","5.4","1.4",".","1.4","1.4",".",".",".",".",".",".",".","."
"","324
001","","12","3.227","33.3","16.7","25.0","8.3",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"","002
324","","16","3.400","37.5","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Fourth Semester Arabic","Course Total","","28","3.327","35.7","17.9","25.0","7.1","3.6","3.6",".",".",".",".",".",".","7.1",".",".","."
"","325
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","326
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","10","3.541","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","","27","3.821","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang-S Africa: Zulu","338
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang of West Africa","394
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402
001","","18","3.452","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
001","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","446
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","Course Total","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"6th Sem Lang-Southrn Africa","494
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"6th Sem, Lang of W Africa","498
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","26","3.765","57.7","26.9","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","669
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
007","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Special Topics","Course Total","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
