"Summary by Level","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1
4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","1",".","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Undergraduates","2
4.000","50.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","50.0","."
"Special","2
4.000","50.0","",".","",".",".","",".","",".","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Graduate","10
4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","15",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 2","2",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 3","1",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 4","7",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Professionals","25",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
