"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"171
Intro to Geological Engr","001","","54","3.852","96.3",".",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Soil Mechanics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Intro Geophysics:Dynmic  Earth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Foundations","001","","10","3.400",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"597
Borehole Geophysics","001","","12","3.375","33.3","41.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"629
Contaminant Hydrogeology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"730
Engr Properties of Soils","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
