"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","18","3.694","72.2",".","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","50","3.870","88.0",".","10.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","45","3.911","86.7","11.1",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","71","3.915","85.9","12.7",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","33","3.348","30.3","30.3","24.2","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","42","3.256","26.2","28.6","21.4","11.9","9.5",".",".",".","2.4",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","75","3.297","28.0","29.3","22.7","10.7","8.0",".",".",".","1.3",".",".",".",".",".",".","."
"","651
001","","25","3.280","28.0","16.0","44.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","56","3.429","37.5","10.7","51.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","81","3.383","34.6","12.3","49.4","2.5","1.2",".",".",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","35","3.314","34.3","20.0","31.4","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","37","3.095","18.9","10.8","48.6","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","349","3.388","49.6","14.9","26.1","5.7","3.2","0.3",".",".","0.3",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","2.500","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","62","3.563","62.9","19.4","12.9","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","110","3.541","65.5","11.8","16.4","2.7","2.7",".",".",".","0.9",".",".",".",".",".",".","."
"Senior","","","151","3.290","32.5","16.6","38.4","9.3","2.6","0.7",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","325","3.396","49.5","15.4","25.8","5.8","2.8","0.3",".",".","0.3",".",".",".",".",".",".","."
"Special","","","24","3.277","50.0","8.3","29.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","349","3.388","49.6","14.9","26.1","5.7","3.2","0.3",".",".","0.3",".",".",".",".",".",".","."
