"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","113","3.199","40.7","5.3","33.6","2.7","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"","304
001","24","3.396","37.5","12.5","45.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","304
002","23","3.565","34.8","43.5","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
304","24","3.174","16.7","20.8","45.8","4.2","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"","004
304","19","3.211","15.8","15.8","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","17","3.353","29.4","11.8","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","107","3.344","27.1","21.5","45.8","1.9","2.8",".",".",".",".",".",".",".","0.9",".",".","."
"Biological Interactions","333
001","73","3.308","26.0","24.7","39.7","4.1","5.5",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","295","3.274","32.5","15.9","39.3","2.7","7.5","1.7",".",".",".",".",".",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","2.800","9.1","9.1","54.5","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Junior","","156","3.284","32.7","11.5","45.5","2.6","5.8","1.3",".",".",".",".",".",".","0.6",".",".","."
"Senior","","117","3.342","36.8","23.1","28.2","2.6","7.7","1.7",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","295","3.274","32.5","15.9","39.3","2.7","7.5","1.7",".",".",".",".",".",".","0.3",".",".","."
"","Dept. Total","295","3.274","32.5","15.9","39.3","2.7","7.5","1.7",".",".",".",".",".",".","0.3",".",".","."
