"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","775
004","4","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","33","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","1101","3.481","38.0","10.8","9.4","1.9","3.2","0.2","",".","36.4",".",".",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","38","4.000","84.2",".",".",".",".",".","",".","15.8",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","162","3.611","53.1","21.0","21.6","3.7","0.6",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","525","3.209","26.5","16.2","13.0","2.5","6.3","0.4","",".","35.2",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","374","3.948","42.5",".","0.3","0.5","0.3",".","",".","56.1",".",".",".","",".","",".",".","0.3","."
"Professionals","","1099","3.479","37.9","10.8","9.5","1.9","3.2","0.2","",".","36.5",".",".",".","",".","",".",".","0.1","."
"","Dept. Total","1101","3.481","38.0","10.8","9.4","1.9","3.2","0.2","",".","36.4",".",".",".","",".","",".",".","0.1","."
