"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"836
Security Anal&Invstmt Mgt 2","001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Applied Corporate Finance II","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Theory of Finance","001","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"970
Seminar-Investments (Ph.D.)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Topics Seminar-Finance PhD","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"973
Seminar-Workshop in Finance","001","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
