"","990
007","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
022","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
028","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","159","3.489","51.6","15.7","17.6","1.9","5.0","2.5","",".","5.0","",".",".","",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.290","37.5","25.0","12.5","12.5","12.5",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","23","3.609","56.5","13.0","26.1","4.3",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","39","3.174","38.5","10.3","30.8","2.6","12.8","5.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","45","3.506","57.8","13.3","17.8",".","4.4","4.4","",".","2.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","","115","3.400","49.6","13.0","23.5","2.6","7.0","3.5","",".","0.9","",".",".","",".",".","",".",".",".","."
"Special","","5","3.000",".",".","20.0",".",".",".","",".","80.0","",".",".","",".",".","",".",".",".","."
"Graduate","","38","3.854","63.2","26.3",".",".",".",".","",".","7.9","",".",".","",".","2.6","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","159","3.489","51.6","15.7","17.6","1.9","5.0","2.5","",".","5.0","",".",".","",".","0.6","",".",".",".","."
