"","699
011","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
012","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
013","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Studies","Course Total","18","3.976","94.4","5.6",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"BIOLOGY
205","Dept. Total","1436","3.007","30.4","13.8","30.9","5.3","12.8","4.3","1.8","",".","",".",".","",".","",".","0.2","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","181","2.714","29.3","12.2","20.4","6.1","19.3","8.3","3.9","",".","",".",".","",".","",".","0.6",".",".","."
"Sophomore","","561","2.958","30.1","14.3","28.3","4.8","15.0","5.2","1.4","",".","",".",".","",".","",".","0.2","0.2","0.2","0.4"
"Junior","","533","3.089","26.5","14.1","39.2","6.2","10.3","2.4","0.9","",".","",".",".","",".","",".","0.2",".",".","0.2"
"Senior","","153","3.100","45.8","13.1","24.2","2.6","6.5","3.3","3.9","",".","",".",".","",".","",".",".",".","0.7","."
"Undergraduates","","1428","3.004","30.3","13.8","31.0","5.3","12.9","4.3","1.8","",".","",".",".","",".","",".","0.2","0.1","0.1","0.2"
"Special","","8","3.516","50.0","12.5","25.0","12.5",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1436","3.007","30.4","13.8","30.9","5.3","12.8","4.3","1.8","",".","",".",".","",".","",".","0.2","0.1","0.1","0.2"
