"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","121","2.975","27.3","6.6","30.6","9.9","19.0","3.3","0.8","2.5",".",".",".",".",".",".",".","."
"","300
002","200","3.035","27.5","12.0","29.5","11.0","16.5","2.5","1.0",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","321","3.013","27.4","10.0","29.9","10.6","17.4","2.8","0.9","0.9",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","46","3.522","26.1","54.3","17.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","42","3.690","57.1","26.2","14.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","40","3.725","62.5","20.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","38","3.513","42.1","31.6","15.8","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","120","3.646","54.2","25.8","15.8","3.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"","325
001","26","3.229","23.1","19.2","34.6","7.7","7.7",".",".","3.8",".",".",".",".","3.8",".",".","."
"","325
002","43","3.221","20.9","25.6","34.9","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"","325
003","32","3.375","34.4","18.8","34.4","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","24","3.250","20.8","33.3","20.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","125","3.268","24.8","24.0","32.0","14.4","3.2",".",".","0.8",".",".",".",".","0.8",".",".","."
"","330
001","54","3.343","31.5","31.5","24.1","7.4","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"","002
330","60","3.292","25.0","25.0","35.0","13.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","330
003","27","3.389","44.4","7.4","33.3","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","141","3.330","31.2","24.1","30.5","10.6","2.8",".","0.7",".",".",".",".",".",".",".",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
365","23","3.682","56.5","17.4","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.741","64.3","14.3","17.9",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Bank Management","410
001","77","3.370","35.1","11.7","46.8","5.2","1.3",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","18","3.528","38.9","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","33","3.609","45.5","36.4","9.1","3.0","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"Entrepreneurial Finance","457
001","41","3.585","26.8","63.4","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","15","3.571","40.0","26.7","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","635
002","21","3.571","47.6","19.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","36","3.571","44.4","22.2","30.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","700
030","53","3.528","35.8","34.0","30.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","38","3.868","81.6","10.5","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","91","3.670","54.9","24.2","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721
001","36","3.571","47.2","22.2","22.2","5.6",".",".",".","2.8",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","41","3.525","31.7","39.0","26.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Raising Capital&Financing Firm","727
001","32","3.734","53.1","40.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Adv Derivative Securities","830
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 54 of 404"
