"ELECTRICAL AND COMPUTER E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"","352","002","25","3.100","24.0","20.0","24.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","","Course Total","87","2.931","13.8","16.1","32.2","20.7","16.1","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353","001","27","2.463","7.4","11.1","25.9","14.8","25.9","11.1","3.7",".",".",".",".",".",".",".",".","."
"","354","001","27","2.907","18.5","14.8","14.8","33.3","18.5",".",".",".",".",".",".",".",".",".",".","."
"","354","002","12","2.625","16.7","8.3","8.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","","Course Total","39","2.821","17.9","12.8","12.8","28.2","28.2",".",".",".",".",".",".",".",".",".",".","."
"","355","001","23","2.761","13.0","21.7","26.1","17.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","355","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","","Course Total","31","2.903","19.4","22.6","22.6","16.1","9.7","6.5","3.2",".",".",".",".",".",".",".",".","."
"","370","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","005","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","","Course Total","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376","001","101","3.054","18.8","17.8","42.6","6.9","10.9","1.0","2.0",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377","001","82","3.445","35.4","40.2","12.2","7.3","3.7",".","1.2",".",".",".",".",".",".",".",".","."
"","399","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","7","3.941","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","59","3.552","42.4","27.1","25.4","3.4",".",".",".","1.7",".",".",".",".",".",".",".","."
"","412","003","15","3.467","53.3",".","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","74","3.534","44.6","21.6","28.4","2.7","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","26","2.885","11.5","19.2","30.8","19.2","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","10","3.389","30.0","10.0","50.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","24","2.729","12.5","8.3","45.8","4.2","20.8","4.2","4.2",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","27","3.481","51.9","18.5","22.2","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466","001","22","3.524","18.2","63.6","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Honors in Research","489","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","491","066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","11","3.611","36.4","27.3","18.2",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Introduction to Plasmas","525","001","8","3.063",".","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537","001","30","3.367","36.7","26.7","26.7",".","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","36","3.278","25.0","33.3","16.7","22.2","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","33","2.970","15.2","21.2","36.4","9.1","15.2",".","3.0",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
