"","990
057","2","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
062","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
063","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"ANATOMY
144","Dept. Total","260","3.792","25.0","1.5","1.9","0.4","",".","",".","",".","69.6","0.8",".",".","",".","0.4",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Senior","","17","3.763","76.5","11.8","11.8",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","26","3.836","84.6","7.7","7.7",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Graduate","","31","3.649","51.6","6.5","9.7","3.2","",".","",".","",".","29.0",".",".",".","",".",".",".",".","."
"Prof Yr 1","","191","4.000","12.0",".",".",".","",".","",".","",".","86.4","1.0",".",".","",".","0.5",".",".","."
"Prof Yr 2","","10","4.000","40.0",".",".",".","",".","",".","",".","50.0",".",".",".","",".",".",".",".","10.0"
"Prof Yr 3","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"Professionals","","203","4.000","13.3",".",".",".","",".","",".","",".","84.7","1.0",".",".","",".","0.5",".",".","0.5"
"","Dept. Total","260","3.792","25.0","1.5","1.9","0.4","",".","",".","",".","69.6","0.8",".",".","",".","0.4",".",".","0.4"
