"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","31","",".",".",".",".",".",".",".","71.0",".",".",".","29.0",".",".",".","."
"999
Spec Work-Ag & Appl Economics","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A A E
108","Dept. Total","","565","3.248","35.2","19.1","17.2","9.6","7.6","2.5","1.1","4.1",".",".",".","1.6","2.1",".",".","."
