"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","25","3.758","64.0","24.0","12.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","157","3.701","67.5","21.7","8.3","2.5",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","333","3.544","49.5","30.9","15.0","2.7","0.6","0.6","0.3",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","516","3.590","55.8","27.7","12.8","2.5","0.4","0.4","0.2",".","",".",".","",".",".","0.2",".",".","."
"Special","2","",".",".",".",".",".",".",".","50.0","",".","50.0","",".",".",".",".",".","."
"Graduate","239","3.756","35.1","11.7","6.3",".",".",".",".","23.8","",".","11.7","",".","10.0","1.3",".",".","."
"Prof Yr 2","3","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"Prof Yr 4","3","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"Professionals","6","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
