"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","45","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","160
001","21","3.286","23.8","42.9","23.8","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","160
002","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
003","18","3.528","55.6","27.8","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","59","3.500","45.8","32.2","15.3","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"","170
001","14","3.393","35.7","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","170
002","23","3.522","39.1","34.8","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","170
003","23","3.283","26.1","26.1","34.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","170
004","9","3.333","22.2","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","69","3.391","31.9","30.4","27.5","4.3","5.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","187","2.987","20.9","19.3","26.2","16.6","11.2","3.7","1.6",".",".",".",".",".","0.5",".",".","."
"Dynamics","240
001","114","2.876","14.0","15.8","31.6","14.0","20.2","3.5",".",".",".",".",".",".","0.9",".",".","."
"Undergrad Mech Engr Project","291
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","29","3.963","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","30","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","44","2.852","11.4","18.2","29.5","20.5","18.2",".","2.3",".",".",".",".",".",".",".",".","."
"","306
002","90","2.900","8.9","11.1","45.6","20.0","14.4",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","134","2.884","9.7","13.4","40.3","20.1","15.7",".","0.7",".",".",".",".",".",".",".",".","."
"","307
001","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","7","3.286","14.3","57.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","3.154","7.7","46.2","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","13","3.000",".","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
307","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","8","3.188",".","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
013","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","104","3.207","15.4","28.8","41.3","10.6","3.8",".",".",".",".",".",".",".",".",".",".","."
"","313
001","49","3.208","8.2","40.8","36.7","8.2","4.1",".",".",".",".",".",".",".","2.0",".",".","."
"","313
002","53","3.113","13.2","20.8","41.5","24.5",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","102","3.158","10.8","30.4","39.2","16.7","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"","314
001","39","3.051","12.8","35.9","28.2","5.1","12.8","5.1",".",".",".",".",".",".",".",".",".","."
"","314
002","40","3.138","7.5","35.0","42.5","7.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","79","3.095","10.1","35.4","35.4","6.3","10.1","2.5",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","98","2.990","14.3","23.5","27.6","23.5","7.1","1.0","2.0",".",".",".",".",".","1.0",".",".","."
"","340
001","31","2.613","22.6","12.9","12.9","19.4","19.4",".","12.9",".",".",".",".",".",".",".",".","."
"","002
340","52","3.019","13.5","28.8","23.1","21.2","11.5","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","83","2.867","16.9","22.9","19.3","20.5","14.5","1.2","4.8",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","001
342","73","2.890","12.3","20.5","27.4","23.3","11.0","5.5",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 130 of 404",""
