"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","136","3.959","93.4","2.2","2.9",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","46","2.811","4.3","17.4","39.1","19.6","13.0","4.3",".","2.2",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","212","3.718","63.7","23.1","7.5","2.4","0.9","0.5","0.5","0.5",".",".",".",".","0.9",".",".","."
"","120","001","52","2.725","11.5","13.5","15.4","32.7","21.2","3.8",".","1.9",".",".",".",".",".",".",".","."
"","120","002","45","2.856","15.6","20.0","17.8","26.7","15.6","2.2","2.2",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","97","2.786","13.4","16.5","16.5","29.9","18.6","3.1","1.0","1.0",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","44","3.114","13.6","29.5","29.5","20.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","14","3.286","28.6","35.7","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","21","3.425","42.9","14.3","33.3",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","260","001","34","2.838","20.6","8.8","23.5","17.6","26.5","2.9",".",".",".",".",".",".",".",".",".","."
"","260","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","","Course Total","35","2.871","22.9","8.6","22.9","17.1","25.7","2.9",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","14","3.321","28.6","28.6","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Global Warming Debate","332","001","29","3.069","17.2","34.5","20.7","13.8","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"","339","001","58","2.836","13.8","10.3","37.9","12.1","22.4","3.4",".",".",".",".",".",".",".",".",".","."
"","339","002","52","2.770","13.5","7.7","30.8","17.3","23.1","3.8",".","1.9",".",".",".",".","1.9",".",".","."
"Environmental Conservation","","Course Total","110","2.806","13.6","9.1","34.5","14.5","22.7","3.6",".","0.9",".",".",".",".","0.9",".",".","."
"Environmental Economics","343","001","26","3.457","38.5","23.1","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"Environment&Global Economy","344","001","36","3.111","30.6","27.8","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"History of Ecology","353","001","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","25","3.440","44.0","24.0","20.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","22","2.976","13.6","50.0","13.6",".","4.5","4.5","9.1","4.5",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","10","3.200","30.0",".","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","402","001","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","23","3.700","73.9","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"World Forest History","452","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Environmental History","460","001","138","3.326","26.8","31.2","27.5","8.0","2.9","0.7","0.7","1.4",".",".",".",".","0.7",".",".","."
"Intro-Environmental Health","471","001","64","3.579","42.2","34.4","17.2","4.7",".",".",".",".",".",".",".",".",".","1.6",".","."
"Ecology of Fishes","510","001","27","2.537","7.4","18.5","22.2","7.4","33.3","7.4","3.7",".",".",".",".",".",".",".",".","."
"","511","001","7","2.071","14.3",".",".","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"","511","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","11","2.500","18.2","9.1","9.1","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","7","2.929","14.3",".","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Eclgy in Mainland SE Asia","557","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","18","3.194","16.7","33.3","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600","001","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 150 of 404",""
