"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Intro-Artificl Intelligence","540","001","","55","3.245","36.4","29.1","5.5","14.5","5.5","1.8","3.6",".",".",".",".",".","3.6",".",".","."
"Natural Lang & Computing","545","001","","29","3.500","44.8","20.7","27.6","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Comp Systms Mdlng Fundmntls","547","001","","20","3.605","70.0","15.0",".",".",".","10.0",".",".",".",".",".",".","5.0",".",".","."
"Intro-Computer Architecture","552","001","","26","3.038","26.9","19.2","23.1","11.5","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","","24","3.375","54.2","12.5","16.7","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","002","","59","3.063","15.3","27.1","28.8","20.3","8.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","570","001","","30","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","577","001","","84","3.393","72.6","1.2","8.3","3.6","3.6","3.6","7.1",".",".",".",".",".",".",".",".","."
"","577","002","","43","3.058","25.6","9.3","46.5","7.0","4.7","4.7","2.3",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","","127","3.280","56.7","3.9","21.3","4.7","3.9","3.9","5.5",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","638","001","","26","2.827","19.2","7.7","42.3","11.5","7.7","7.7","3.8",".",".",".",".",".",".",".",".","."
"","638","002","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","","Course Total","","36","3.028","22.2","19.4","36.1","8.3","5.6","5.6","2.8",".",".",".",".",".",".",".",".","."
"","682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","100","","7","3.625","28.6","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".",".","28.6","."
"Directed Study","","Course Total","","22","3.917","72.7","4.5","9.1",".",".",".",".",".",".",".",".","4.5",".",".","9.1","."
"Princ of Programming Langs","704","001","","12","3.625","66.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Programming","720","001","","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","35","3.871","74.3","25.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems","739","001","","24","3.667","37.5","58.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","21","3.571","33.3","47.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Machine Learning","761","001","","39","3.541","30.8","41.0","23.1",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764","001","","28","3.679","60.7","14.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Vision","766","001","","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Bioinformatics","776","001","","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Algorithms","787","001","","30","3.817","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
