"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2049","3.201","36.6","14.9","23.0","9.3","7.9","3.4","1.4","2.7","",".",".","",".","0.6","0.1",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","61","3.148","41.0","9.8","23.0","9.8","9.8","3.3","3.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","403","3.083","28.8","16.9","25.8","11.4","12.4","3.0","1.7",".","",".",".","",".",".",".",".",".","."
"Junior","","643","3.178","33.0","16.2","27.2","11.2","8.2","3.3","0.9",".","",".",".","",".",".",".",".",".","."
"Senior","","538","3.046","35.5","11.0","23.4","11.0","9.7","6.3","2.2","0.4","",".",".","",".",".","0.4",".",".","0.2"
"Undergraduates","","1645","3.111","33.1","14.4","25.5","11.1","9.8","4.2","1.6","0.1","",".",".","",".",".","0.1",".",".","0.1"
"Special","","15","3.378","46.7","6.7","26.7","13.3",".",".",".",".","",".",".","",".",".",".",".","6.7","."
"Graduate","","388","3.668","51.3","17.3","12.4","1.3",".",".","0.5","13.7","",".",".","",".","3.1",".",".","0.3","0.3"
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2049","3.201","36.6","14.9","23.0","9.3","7.9","3.4","1.4","2.7","",".",".","",".","0.6","0.1",".","0.1","0.1"
