"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Mass Media & Human Behavior","325","001","113","2.996","5.3","33.6","36.3","16.8","3.5","2.7","1.8",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","97","3.328","25.8","34.0","28.9","6.2","2.1","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"Introduction to Film","350","001","127","2.896","7.9","26.0","31.5","16.5","12.6","1.6","2.4",".",".",".",".",".","1.6",".",".","."
"Introduction to Television","351","001","103","3.078","19.4","31.1","25.2","11.7","6.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"Film History Since 1960","353","001","67","3.202","16.4","32.8","26.9","10.4","4.5",".","1.5","6.0",".",".",".",".","1.5",".",".","."
"Film Styles and Genres","354","001","92","3.011","16.3","27.2","26.1","14.1","9.8","4.3","1.1","1.1",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","117","3.333","23.9","29.9","34.2","6.0","3.4",".",".","0.9",".",".",".",".","1.7",".",".","."
"History of Animated Film","357","001","30","3.183","20.0","23.3","36.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360","001","104","3.091","10.6","36.5","29.8","12.5","8.7","1.0","1.0",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","69","2.870","10.1","15.9","34.8","21.7","14.5","2.9",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","116","3.030","14.7","25.9","25.0","23.3","9.5","1.7",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","83","3.018","13.3","33.7","21.7","18.1","9.6","1.2","2.4",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media and National Identity","448","001","37","3.311","16.2","40.5","32.4","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","39","3.308","20.5","33.3","33.3","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","20","2.947","15.0","20.0","35.0","10.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"American Independent Cinema","462","001","22","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","10","3.300","40.0","30.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","465","002","15","3.500","26.7","33.3","26.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.685","46.7","30.0","13.3",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Writing for TV & Film","466","001","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","001","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound","","Course Total","28","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","45","3.344","11.1","60.0","26.7",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","20","3.500","45.0","30.0",".","15.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"Rhetrcl Anlys-Internet Discrse","478","001","18","3.333","38.9","16.7","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","23","3.326","21.7","39.1","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","19","3.158","21.1","21.1","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","608","001","15","3.333","46.7","13.3","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","608","002","17","3.469","35.3","23.5","29.4","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Spec Tpcs:Media & Cultural St","","Course Total","32","3.403","40.6","18.8","21.9","9.4","6.3",".",".",".",".",".",".",".","3.1",".",".","."
"Topics-Rhetoric&Pub Address","610","001","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 183 of 404",""
