"","999
081","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
089","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
094","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading & Research","Course Total","27","3.891","48.1","7.4",".",".",".",".",".","25.9",".",".","",".",".",".",".","18.5","."
"SOC
900","Dept. Total","3093","3.293","35.7","19.8","18.4","9.7","5.9","1.2","0.9","4.7","0.0","0.6","",".","1.0","1.2","0.1","0.8","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","342","2.889","13.2","17.8","29.2","22.5","13.5","1.5","0.9",".",".","1.5","",".",".",".",".",".","."
"Sophomore","","770","3.209","30.8","23.1","24.7","10.1","6.6","1.0","1.3",".",".","0.8","",".",".","1.0",".","0.4","0.1"
"Junior","","750","3.343","36.4","25.6","20.0","8.0","5.6","1.5","0.7",".",".","0.4","",".",".","0.3","0.4","0.9","0.3"
"Senior","","877","3.434","48.9","17.8","13.7","9.0","4.7","1.4","1.3","0.2",".","0.7","",".",".","1.9","0.1","0.2","0.1"
"Undergraduates","","2739","3.270","35.9","21.4","20.4","10.7","6.6","1.3","1.1","0.1",".","0.7","",".",".","1.0","0.1","0.4","0.1"
"Special","","23","3.525","34.8","21.7","4.3","8.7","4.3",".",".","8.7",".",".","",".",".",".",".","17.4","."
"Graduate","","329","3.814","33.1","6.1","2.1","0.9","0.3",".",".","42.6","0.3",".","",".","9.1","2.7",".","2.7","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3093","3.293","35.7","19.8","18.4","9.7","5.9","1.2","0.9","4.7","0.0","0.6","",".","1.0","1.2","0.1","0.8","0.1"
