"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","999
062","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
064","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","2999","3.082","23.4","23.2","22.2","12.7","10.3","2.4","0.9","1.9","0.1","0.4","",".","1.4","0.7","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","227","2.609","8.4","15.4","22.9","24.2","18.1","7.9","2.6",".",".",".","",".",".",".","0.4",".","."
"Sophomore","","621","2.968","16.1","23.0","25.8","17.6","14.2","2.9","0.5",".",".",".","",".",".",".",".",".","."
"Junior","","788","3.095","22.3","25.3","24.1","14.0","11.2","1.4","0.9","0.3",".",".","",".",".","0.6",".",".","."
"Senior","","1109","3.196","28.9","25.1","23.0","9.5","8.1","2.3","0.8","1.0","0.1","0.4","",".",".","0.6","0.2","0.1","."
"Undergraduates","","2745","3.058","22.4","23.9","23.9","13.8","11.2","2.6","0.9","0.5","0.0","0.1","",".",".","0.4","0.1","0.0","."
"Special","","56","3.152","19.6","16.1","14.3","5.4","3.6","1.8","1.8","26.8",".",".","",".",".","1.8",".","8.9","."
"Graduate","","195","3.830","39.0","15.9","1.0",".",".",".",".","14.9","1.0","3.6","",".","21.0","3.6",".",".","."
"Prof Yr 2","","3","4.000","33.3",".",".",".",".",".",".",".",".",".","",".",".","33.3",".","33.3","."
"Professionals","","3","4.000","33.3",".",".",".",".",".",".",".",".",".","",".",".","33.3",".","33.3","."
"","Dept. Total","2999","3.082","23.4","23.2","22.2","12.7","10.3","2.4","0.9","1.9","0.1","0.4","",".","1.4","0.7","0.1","0.2","."
