"EGR","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","",""
"Intro to Engineering Research","468","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Proposal-Engr Physics","469","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476","001","","8","3.188","62.5",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Research Pract-Engr Physics I","568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"E P
347","","Dept. Total","","44","3.667","61.4","6.8","9.1","2.3",".",".","2.3",".",".",".",".",".","18.2",".",".","."
