"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","144","3.233","27.1","26.4","25.0","13.2","6.9","0.7","0.7",".",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","21","3.262","23.8","23.8","42.9",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","26","3.146","26.9","26.9","7.7","15.4","11.5","3.8",".","3.8",".",".",".",".","3.8",".",".","."
"Valuation of Real Estate","415
001","32","3.397","28.1","21.9","34.4","6.3",".",".",".","6.3",".",".",".",".","3.1",".",".","."
"Urban & Regional Economics","420
001","37","3.292","35.1","24.3","18.9","10.8","5.4",".","2.7",".",".",".",".",".","2.7",".",".","."
"Community Economic Analysis","520
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","40","3.450","25.0","52.5","17.5","2.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","19","3.553","36.8","47.4","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","21","3.525","23.8","52.4","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","740
001","13","3.462","46.2","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","Course Total","19","3.579","52.6","21.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","17","3.441","29.4","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","10","3.500","40.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","40","3.759","77.5","15.0","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
142","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","450","3.388","36.7","28.9","19.8","7.8","4.0","0.7","0.4","0.9",".",".",".","0.2","0.7",".",".","."
