"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"","322
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art and Design in Teaching","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Design Education","326
001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Stdt Tchg-Elem School Art","423
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Adv Independent Reading","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","60","3.942","88.3","5.0","5.0",".",".",".",".",".",".",".",".",".","1.7",".",".","."
