"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","96","3.411","20.8","44.8","29.2","3.1","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154","001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","12","3.583","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","69","3.074","27.5","17.4","26.1","14.5","5.8","5.8","1.4",".","1.4",".",".",".",".",".",".","."
"Interior Design I","222","001","","22","3.738","54.5","31.8","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.625","50.0","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","75","2.727","5.3","13.3","28.0","33.3","18.7",".","1.3",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","8","3.125",".","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","15","3.536","46.7","13.3","26.7","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","27","3.426","33.3","33.3","25.9",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","7","3.214","42.9","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Twentieth Century Design","420","001","","19","3.735","57.9","15.8","15.8",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Textile Design: Weaving II","429","002","","7","3.071","57.1",".",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","16","3.438","37.5","31.3","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","21","3.667","71.4","19.0","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","501","005","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","66","3.753","71.2","19.7","6.1","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","10","3.958","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Apparl Desgn:Profesnl Pract","610","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","26","3.560","26.9","53.8","15.4",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 145 of 404",""
