"","999
054","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
062","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
063","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","23","4.000","95.7",".",".",".",".",".",".",".","",".",".",".",".",".",".","4.3","."
"E C E
320","Dept. Total","2108","3.257","34.9","18.4","19.3","7.7","6.5","1.2","0.8","5.6","",".","0.2",".","4.8","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.050","30.0","30.0","10.0","20.0",".",".","10.0",".","",".",".",".",".",".",".",".","."
"Sophomore","","135","3.155","37.0","17.8","23.0","12.6","8.1","1.5",".",".","",".",".",".",".",".",".",".","."
"Junior","","431","3.071","34.8","17.2","22.7","12.5","9.7","2.3","0.7",".","",".",".",".",".",".",".",".","."
"Senior","","921","3.244","36.0","22.1","22.9","8.0","8.0","1.3","0.7","0.3","",".",".",".",".","0.3","0.1","0.1","."
"Undergraduates","","1497","3.184","35.7","20.4","22.8","9.8","8.5","1.6","0.7","0.2","",".",".",".",".","0.2","0.1","0.1","."
"Special","","52","2.664","26.9","7.7","25.0","3.8","7.7","1.9","13.5","9.6","",".",".",".",".","1.9","1.9",".","."
"Graduate","","650","3.615","28.9","12.2","8.0","2.0","0.9","0.2",".","17.1","",".","14.5","0.2","15.5","0.3",".","0.3","."
"","Dept. Total","2199","3.257","33.5","17.6","18.5","7.4","6.2","1.2","0.8","5.4","",".","4.3","0.0","4.6","0.3","0.1","0.1","."
