"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
005","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
005","18","3.722","72.2","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","110
006","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","110
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","78","3.885","88.5","5.1","3.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","115
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","11","3.364","63.6","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","115
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
016","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
017","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
018","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
021","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","238","3.929","94.1","3.4","0.8","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"","125
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","21","3.953","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","20","3.575","55.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
