"","999
062","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","10","3.667","20.0","10.0",".",".",".",".",".","60.0",".",".",".","10.0",".",".",".","."
"ENGLISH
350","Dept. Total","4325","3.503","40.2","24.7","14.2","4.0","2.2","0.5","1.0","0.9","0.1","9.1","0.4","2.2","0.6","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","605","3.549","42.8","23.8","13.7","2.6","1.8","0.3","1.0",".",".","12.4","1.2",".","0.3",".",".","."
"Sophomore","","1147","3.558","44.8","28.3","13.4","4.0","2.2","0.3","0.4",".",".","5.7","0.3",".","0.3","0.1","0.1","."
"Junior","","844","3.382","34.2","28.4","21.9","5.9","2.5","0.7","1.4",".",".","4.3","0.1",".","0.2",".","0.2","."
"Senior","","1140","3.442","40.8","26.8","15.3","5.0","3.2","1.0","1.5","0.1",".","5.5",".","0.2","0.8",".",".","."
"Undergraduates","","3736","3.479","40.9","27.1","16.0","4.5","2.5","0.6","1.1","0.0",".","6.4","0.3","0.1","0.4","0.0","0.1","."
"Special","","109","3.383","18.3","16.5","11.9","0.9",".",".","1.8","4.6",".","40.4","1.8",".","0.9","0.9","1.8","."
"Graduate","","478","3.901","39.7","7.3","0.8","0.2",".",".",".","6.9","0.6","22.6","0.4","19.0","2.3",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","4325","3.503","40.2","24.7","14.2","4.0","2.2","0.5","1.0","0.9","0.1","9.1","0.4","2.2","0.6","0.0","0.1","."
