"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","18","3.306","22.2","33.3","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","","22","3.091","13.6","31.8","22.7","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243","001","","33","2.742","15.2","12.1","21.2","27.3","18.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Directed Study","299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Latino/as and Media","419","001","","16","3.688","87.5",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","","45","3.372","28.9","28.9","28.9","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Integrative Smr-Chicana/o St","510","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","004","","9","3.278","55.6",".",".","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","","Course Total","","18","3.639","77.8",".",".","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
