"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","82","3.037","35.4","11.0","19.5","8.5","20.7","2.4","2.4",".",".",".",".",".",".",".",".","."
"","224
002","89","2.876","27.0","10.1","29.2","7.9","15.7","5.6","4.5",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","171","2.953","31.0","10.5","24.6","8.2","18.1","4.1","3.5",".",".",".",".",".",".",".",".","."
"","301
002","127","2.508","22.8","3.1","26.8","8.7","16.5","13.4","8.7",".",".",".",".",".",".",".",".","."
"","301
004","138","3.164","39.1","15.2","17.4","5.8","16.7","4.3","0.7",".",".",".",".",".","0.7",".",".","."
"","301
005","82","2.833","26.8","6.1","39.0","4.9","4.9","12.2","4.9",".",".",".",".",".","1.2",".",".","."
"","301
006","98","3.194","28.6","17.3","27.6","19.4","6.1","1.0",".",".",".",".",".",".",".",".",".","."
"","301
008","274","3.142","27.0","22.3","22.3","15.7","9.9","2.6","0.4",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","719","3.006","28.8","15.0","24.8","11.8","11.3","5.7","2.4",".",".",".",".",".","0.3",".",".","."
"Intro to Math Statistics","310
001","46","2.696","21.7","4.3","37.0",".","19.6","17.4",".",".",".",".",".",".",".",".",".","."
"","311
001","51","2.940","19.6","9.8","29.4","25.5","9.8","3.9",".","2.0",".",".",".",".",".",".",".","."
"","311
002","45","3.356","24.4","44.4","22.2","4.4",".","4.4",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","96","3.137","21.9","26.0","26.0","15.6","5.2","4.2",".","1.0",".",".",".",".",".",".",".","."
"","312
001","47","3.351","38.3","17.0","31.9","6.4","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"","312
002","38","3.270","39.5","7.9","28.9","7.9","13.2",".",".",".",".",".",".",".",".",".","2.6","."
"Intro to Mathematical Stat","Course Total","85","3.315","38.8","12.9","30.6","7.1","8.2","1.2",".",".",".",".",".",".",".",".","1.2","."
"Intro Applied Stats for Engrs","324
001","93","3.430","45.2","11.8","33.3","5.4","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","63","3.429","31.7","28.6","33.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","351
001","17","3.750","64.7","11.8","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","371
001","101","3.430","47.5","7.9","29.7","9.9","4.0",".",".",".",".",".",".",".",".",".",".","1.0"
"","002
371","148","3.162","39.2","9.5","18.2","20.3","8.8","3.4","0.7",".",".",".",".",".",".",".",".","."
"","371
003","81","3.364","40.7","18.5","19.8","17.3","2.5","1.2",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","330","3.293","42.1","11.2","22.1","16.4","5.8","1.8","0.3",".",".",".",".",".",".",".",".","0.3"
"Intro-Survey Theory & Meths","411
001","23","2.957","26.1","8.7","21.7","17.4","26.1",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","35","3.471","40.0","28.6","25.7",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","7","2.000","14.3","14.3","14.3","14.3",".","14.3","28.6",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","62","3.557","35.5","38.7","24.2",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
002","22","3.386","31.8","22.7","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","5","***","","","","","","","","","","","","","","","",""
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692
001","29","3.964","89.7","6.9",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","002
692","36","3.726","77.8","2.8",".",".",".",".","5.6","8.3",".",".",".",".",".",".","2.8","2.8"
"Special Topics-Statistics","Course Total","65","3.839","83.1","4.6",".",".",".",".","3.1","6.2",".",".",".",".",".",".","1.5","1.5"
"","699
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 313 of 404",""
