"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","355","3.530","51.8","23.9","14.9","3.9","2.8","0.8","1.4","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","17","3.176","52.9","11.8",".","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.813","64.7","23.5","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","150
003","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","150
005","18","3.806","83.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
006","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
009","17","3.125","52.9","11.8","5.9",".","5.9","11.8","5.9",".",".",".",".",".",".","5.9",".","."
"","150
010","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","155","3.785","75.5","14.2","3.9","0.6","1.3","1.3","0.6","1.3",".",".",".",".",".","1.3",".","."
"Intro to Stage Production","001
160","23","3.783","87.0","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","161
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Backstage Laboratory I","Course Total","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","162
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
002","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","162
003","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Theatre Production Laboratory","Course Total","24","3.739","79.2","8.3",".",".","4.2","4.2",".",".",".",".",".",".",".","4.2",".","."
"","250
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","56","3.702","57.1","19.6","12.5","3.6",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Intro-Africn-Amer Performnc","329
001","22","3.829","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","50","3.850","72.0","26.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","10","3.667","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","362
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","29","3.897","89.7","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","12","3.769","83.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","16","3.833","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre and Society","420
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424
001","26","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","453
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
