"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699","215","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","220","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"813","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"813","002","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","003","","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","004","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","005","","10","3.250","30.0","10.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"813","006","","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"813","007","","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","60","3.342","21.7","30.0","43.3","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","11","3.786","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
