"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","12","3.455","16.7","50.0","25.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".","8.3","."
"Undergraduates","14","3.385","14.3","42.9","35.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".","7.1","."
"Special","6","3.750","33.3","33.3",".",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","268","3.735","52.2","31.0","9.0",".","",".","",".","",".","3.4","",".",".","",".","",".","1.1",".","3.4","."
"Prof Yr 1","4","3.375","25.0","25.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","6","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","13","3.769","61.5","30.8","7.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","8","3.625","37.5","50.0","12.5",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","31","3.694","51.6","35.5","12.9",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
