"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"Nonprofit Sector: Overview","300
001","","20","3.450","50.0","30.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Fam & Consumer Educ","330
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","","17","3.529","58.8","5.9","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Iss & Serv Learng","Course Total","","30","3.583","56.7","13.3","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","","15","3.828","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Meths-Teachng Fam & Consumr Ed","427
001","","37","3.446","43.2","32.4","8.1","8.1","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Entrepreneurialism and Society","455
001","","101","3.929","90.1","3.0","4.0","1.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Leadership&Mgt-Nonprofit Orgs","460
001","","17","3.594","41.2","35.3","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","501
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
006","","7","2.786","42.9","14.3","14.3",".",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"","501
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
008","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","3.448","64.5","9.7","9.7",".",".","3.2","3.2","9.7",".",".",".",".",".",".",".","."
"Community Leadershp","560
001","","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Based Resrch & Eval","570
001","","18","3.278","33.3","16.7","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Topics","675
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","793
001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
