"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","304
001","28","3.426","46.4","25.0","14.3",".","7.1",".","3.6",".",".",".",".",".",".",".","3.6","."
"Civilizat of Ancient Rome","322
001","61","3.475","41.0","24.6","26.2","1.6","1.6",".","1.6","1.6",".",".",".",".","1.6",".",".","."
"Rome:Changing Shape of City","350
001","25","3.460","36.0","32.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351
001","59","3.703","55.9","30.5","11.9","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Mythology","370
001","357","3.185","31.4","28.3","16.5","8.1","8.4","2.8","3.1","1.4",".",".",".",".",".",".",".","."
"Topics in Classical Culture","373
001","57","3.170","28.1","17.5","29.8","7.0","5.3","3.5","1.8","5.3",".",".",".",".",".",".","1.8","."
"Love Poetry-Anct Mediterranean","376
001","16","3.643","43.8","37.5",".",".","6.3",".",".",".",".",".",".",".","12.5",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","17","3.688","70.6","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Senior Thesis","692
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","704
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","626","3.311","37.1","26.5","17.4","6.4","6.1","1.9","2.2","1.4",".",".",".",".","0.6",".","0.3","."
