"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","40","3.333","32.5","20.0","32.5","5.0","7.5",".",".",".",".",".",".",".",".",".","2.5","."
"233
Herbaceous Ornamntl Plnt II","001","","15","3.567","66.7",".","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"299","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.783","72.7",".","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"326
Plant Nutrition Management","001","","12","2.792","16.7","25.0","25.0",".","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","25","3.480","44.0","36.0",".","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","33","3.897","78.8",".","9.1",".",".",".",".","9.1",".",".",".",".","3.0",".",".","."
"375
Special Topics","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","9","3.063","33.3","22.2","11.1","11.1",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","13","3.250","23.1","15.4","15.4","23.1",".",".",".",".",".",".",".",".",".","23.1",".","."
"555
Plant Genomics&Bioinformatics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.833","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","28.6","."
"799
Pract-Horticulture Teaching","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"875","002","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.804","66.7","16.7","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"910
Seminar","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
