"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","2668","3.107","29.4","14.0","16.0","8.1","9.7","3.3","2.4","8.5","",".","6.6","1.0","0.0","0.6","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","2.418","16.7","12.5","14.6","8.3","21.9","6.3","8.3","1.0","",".","9.4",".",".","1.0",".",".","."
"Sophomore","","413","2.841","27.1","8.7","16.7","13.6","19.9","3.6","2.9",".","",".","6.5","0.5",".","0.5",".",".","."
"Junior","","616","2.902","24.5","12.3","21.1","11.9","13.5","4.9","2.9",".","",".","7.3","0.6",".","0.6","0.3",".","."
"Senior","","808","3.081","31.2","15.0","18.3","8.5","8.7","4.3","3.1","0.9","",".","7.5","1.9",".","0.5",".","0.1","."
"Undergraduates","","1933","2.946","27.5","12.7","18.7","10.7","13.2","4.4","3.3","0.4","",".","7.3","1.1",".","0.6","0.1","0.1","."
"Special","","60","3.162","28.3","21.7","13.3","10.0","5.0","1.7","3.3",".","",".","11.7","3.3",".","1.7",".",".","."
"Graduate","","717","3.707","38.4","16.3","8.4","0.4","0.7",".",".","30.1","",".","3.6","0.7","0.1","0.4",".","0.8","."
"Prof Yr 4","","3","",".",".",".",".",".",".",".","66.7","",".","33.3",".",".",".",".",".","."
"Professionals","","3","",".",".",".",".",".",".",".","66.7","",".","33.3",".",".",".",".",".","."
"","Dept. Total","2713","3.107","30.3","13.8","15.8","7.9","9.7","3.2","2.4","8.3","",".","6.5","1.0","0.0","0.6","0.1","0.3","."
