"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"","104
001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","10","3.500","60.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Greek","Course Total","","23","3.609","56.5","17.4","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Greek","304
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Greek","306
001","","10","3.444","30.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Elem Prose Composition","505
001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","890
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","50","3.658","56.0","16.0","14.0",".","4.0",".",".","6.0",".",".",".","2.0","2.0",".",".","."
