"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"614","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","2","***","","","","","","","","","","","","","","","",""
"616
Mass Media and Youth","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"655
German Film","001","","6","3.000","16.7","50.0",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"665
Contemporary Film Theory","001","","19","3.474","42.1","26.3","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"671
Communicatn&Social Conflict","001","","14","3.654","42.9","35.7","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"698","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"903
Media&Cultural Studies Colloq","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904
Communicatn Science Colloq","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"905
Rhetoric Colloquium","001","","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"950","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 184 of 404",""
