"Senior Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"","699
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
002","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"LEGAL ST
535","Dept. Total","601","3.235","31.9","27.0","21.0","9.8","7.2","1.8","0.7","",".","",".",".","",".","",".","0.5",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","70","2.721","2.9","21.4","37.1","14.3","17.1","4.3","2.9","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","124","3.079","16.9","27.4","30.6","12.9","8.1","3.2",".","",".","",".",".","",".","",".","0.8",".",".","."
"Junior","","180","3.338","36.1","27.2","20.0","9.4","5.6","1.1",".","",".","",".",".","",".","",".","0.6",".",".","."
"Senior","","224","3.450","45.1","28.6","11.6","7.1","4.9","0.9","0.9","",".","",".",".","",".","",".","0.4",".","0.4","."
"Undergraduates","","598","3.232","31.6","27.1","21.1","9.9","7.2","1.8","0.7","",".","",".",".","",".","",".","0.5",".","0.2","."
"Special","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","601","3.235","31.9","27.0","21.0","9.8","7.2","1.8","0.7","",".","",".",".","",".","",".","0.5",".","0.2","."
