"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.792","69.2","7.7","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","101
002","","19","3.316","57.9","21.1","5.3",".","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","101
003","","20","3.775","80.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","67","3.629","65.7","16.4","10.4",".","3.0",".","3.0","1.5",".",".",".",".",".",".",".","."
"","102
001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","21","3.762","81.0","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","20","3.550","50.0","25.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","16","3.375","25.0","37.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","92","3.647","57.6","22.8","14.1","2.2","3.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","23","3.478","47.8","13.0","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","20","3.000","20.0","35.0","15.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","43","3.256","34.9","23.3","20.9","14.0","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","204
002","","15","3.433","53.3","13.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","17","3.706","70.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","204
004","","13","3.231","38.5","30.8","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","45","3.478","55.6","17.8","13.3","2.2","8.9",".","2.2",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","","23","3.804","73.9","21.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","249
001","","18","3.647","61.1","11.1","11.1","11.1",".",".",".",".","5.6",".",".",".",".",".",".","."
"","249
002","","18","3.412","55.6","5.6","11.1","16.7",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","249
003","","17","3.676","70.6","17.6",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","53","3.578","62.3","11.3","7.5","9.4","3.8","1.9",".","1.9","1.9",".",".",".",".",".",".","."
"","258
001","","11","3.591","63.6",".","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
003","","13","3.538","53.8","23.1",".","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","40","3.625","60.0","15.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","002
262","","16","3.406","37.5","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","30","3.433","40.0","23.3","26.7","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"German Immigration Experience","271
001","","56","3.330","21.4","37.5","21.4","10.7","3.6",".",".","3.6",".",".",".",".","1.8",".",".","."
"Nazi Culture","272
001","","87","3.071","20.7","17.2","33.3","8.0","18.4",".",".","2.3",".",".",".",".",".",".",".","."
"Directed Study","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit des 20. & 21. Jahrhunderts","305
001","","16","3.469","37.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","20","3.600","60.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","23","3.739","65.2","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","20","3.650","55.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
