"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"564","004","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"564","006","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","35","3.400","34.3","22.9","34.3","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","43","3.000","51.2","4.7","14.0",".","9.3","11.6","7.0",".",".",".",".",".",".",".","2.3","."
"567","001","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"567","002","","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"567","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","","20","3.000","30.0","15.0","30.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"605
Spectrochemical Measuremts","001","","27","3.519","48.1","14.8","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"606
Phys Meth-Struct Determintn","001","","12","3.500","16.7","58.3","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"607
Laboratory Safety","001","","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"623
Experimental Spectroscopy","001","","18","3.893","61.1","16.7",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"630","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"630","002","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","Course Total","","15","3.651","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Topic-Instrmtn:Mass Spectrmtry","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".","10.0","."
"691
Senior Thesis","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 175 of 404",""
