"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Senior","4","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Undergraduates","5","",".",".",".",".",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Graduate","2","",".",".",".",".",".","",".","",".",".",".","50.0","",".","",".","50.0",".",".","."
"Prof Yr 1","368","4.000","0.5",".",".",".",".","",".","",".","95.7","0.5","1.9","",".","",".","1.4",".",".","."
"Prof Yr 2","1356","3.476","36.5","23.7","34.3","3.5","0.4","",".","",".","0.9","0.1","0.4","",".","",".","0.1",".",".","0.1"
"Prof Yr 3","15","3.458","40.0","6.7","20.0","6.7",".","",".","",".","20.0",".","6.7","",".","",".",".",".",".","."
"Prof Yr 4","5","3.875","40.0","20.0",".",".",".","",".","",".","40.0",".",".","",".","",".",".",".",".","."
"Professionals","1744","3.477","29.0","18.6","26.8","2.8","0.3","",".","",".","21.2","0.2","0.7","",".","",".","0.3",".",".","0.1"
