"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300
School and Society","001","","66","3.470","33.3","40.9","21.2","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","37","3.500","24.3","51.4","18.9","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","62","3.418","27.4","35.5","29.0","4.8","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"518
Intro-Debates in Higher Ed Pol","001","","24","3.227","33.3","29.2","12.5","4.2","4.2","4.2","4.2",".",".",".",".",".","8.3",".",".","."
"560
Gender and Education","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
History of African-Amer Educ","001","","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"675
Intro to Comparitv & Intl Educ","001","","24","3.524","33.3","25.0","29.2",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"699
Independent Reading","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","001","","8","3.625","12.5","37.5",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"780","002","","17","3.767","52.9","29.4","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"780","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","28","3.705","39.3","32.1","7.1",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"789","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"789","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","Course Total","","16","3.964","81.3","6.3",".",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"903
Hist of Educ-Multiculturl Amer","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"908
Smr-Sociology of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","31","",".",".",".",".",".",".",".","74.2",".",".",".","19.4","6.5",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
