"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Engr Prob Solving with Comptrs","470
001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
004","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","","31","3.900","77.4","19.4",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Communicating Technical Info","617
001","","29","3.828","69.0","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","","31","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design I","622
001","","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","630
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
007","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
690","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","74","3.887","79.7","10.8","6.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"E P D
348","Dept. Total","","850","3.578","50.0","28.4","14.7","3.4","0.7","0.1","1.1",".",".",".",".",".","1.6",".",".","."
