"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","75","3.960","93.3","5.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","","72","3.153","19.4","9.7","61.1","1.4","8.3",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","95","2.787","13.7","24.2","20.0","17.9","11.6","8.4","3.2",".",".",".",".",".",".","1.1",".","."
"Intro-Solid State Electronics","235
001","","35","2.886","34.3","2.9","14.3","14.3","31.4",".","2.9",".",".",".",".",".",".",".",".","."
"","252
001","","42","3.238","26.2","31.0","21.4","16.7","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","002
252","","47","3.117","27.7","21.3","12.8","31.9","2.1","4.3",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","","89","3.174","27.0","25.8","16.9","24.7","2.2","2.2","1.1",".",".",".",".",".",".",".",".","."
"","270
001","","34","3.742","67.6","14.7","11.8",".","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"","270
002","","30","3.717","70.0","10.0","16.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","64","3.730","68.8","12.5","14.1",".","3.1",".",".",".",".",".",".",".","1.6",".",".","."
"","271
001","","16","3.700","50.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","271
002","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","32","3.758","59.4","28.1","9.4",".",".",".",".",".",".",".",".",".",".",".","3.1","."
"Electric Machines Lab","304
001","","16","3.344","25.0","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","18","3.824","61.1","33.3",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Intro Microprocessor Lab","Course Total","","26","3.860","69.2","26.9",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Sensors Laboratory","317
001","","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","19","3.263","36.8","15.8","21.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","33","2.939","18.2","24.2","24.2","12.1","15.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","49","2.891","10.2","16.3","34.7","16.3","12.2","4.1",".","6.1",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","","30","2.867","13.3","23.3","23.3","16.7","20.0",".","3.3",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","","27","2.611","14.8","7.4","29.6","11.1","25.9","7.4","3.7",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","","23","2.841","30.4","4.3","26.1",".","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","29","3.207","34.5","13.8","13.8","34.5","3.4",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","62","3.694","54.8","30.6","12.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","","62","2.863","9.7","14.5","35.5","22.6","16.1","1.6",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 113 of 404",""
