"","999
006","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
055","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
160","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"MARKETNG
237","Dept. Total","1587","3.346","34.4","25.2","22.6","11.4","5.0","0.5","0.1","0.5","",".",".","",".","0.1","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","127","2.882","7.1","20.5","33.9","23.6","12.6","2.4",".",".","",".",".","",".",".",".",".",".","."
"Junior","","318","3.071","14.8","22.0","36.5","17.9","7.9","0.9",".",".","",".",".","",".",".",".",".",".","."
"Senior","","635","3.332","32.3","25.4","24.4","12.0","5.2","0.3",".","0.3","",".",".","",".",".","0.2",".",".","."
"Undergraduates","","1081","3.200","24.1","23.8","29.0","15.1","6.9","0.7",".","0.2","",".",".","",".",".","0.1",".",".","."
"Special","","23","3.114","26.1","17.4","26.1","21.7",".",".","4.3",".","",".",".","",".",".",".",".","4.3","."
"Graduate","","482","3.725","57.9","28.8","8.1","2.5","1.0",".",".","1.2","",".",".","",".","0.2",".",".","0.2","."
"Prof Yr 4","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1587","3.346","34.4","25.2","22.6","11.4","5.0","0.5","0.1","0.5","",".",".","",".","0.1","0.1",".","0.1","."
