"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","384","2.912","25.5","12.8","25.5","8.9","16.9","9.6",".","0.3",".",".",".",".","0.3","0.3",".","."
"","102
001","38","3.684","60.5","18.4","18.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","41","3.683","53.7","34.1","7.3","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","42","3.726","52.4","40.5","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","160","3.697","55.0","31.3","11.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","16","3.970","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","203","2.805","14.8","12.8","27.6","11.8","29.1","2.0","0.5","1.0",".",".",".",".","0.5",".",".","."
"","304
001","37","3.203","27.0","18.9","35.1","10.8","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"","304
002","37","3.149","18.9","16.2","48.6","8.1","8.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","35","3.071","20.0","22.9","31.4","8.6","14.3","2.9",".",".",".",".",".",".",".",".",".","."
"","304
004","40","3.163","20.0","10.0","57.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","149","3.148","21.5","16.8","43.6","8.7","8.1","1.3",".",".",".",".",".",".",".",".",".","."
"","305
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","60","3.950","95.0","3.3",".",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","36","3.306","33.3","25.0","25.0","2.8","13.9",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","40","3.950","97.5",".",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","72","3.141","27.8","6.9","48.6","1.4","11.1","2.8",".","1.4",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","64","3.357","45.3","14.1","23.4","3.1","10.9",".","1.6","1.6",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","20","3.400","30.0","25.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","18","3.639","55.6","16.7","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","19","3.658","57.9","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","57","3.561","47.4","19.3","31.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Indus Microbiol/Biotechnlgy","632
001","24","3.521","16.7","70.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 10 of 404"
