"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"476
Engr Princpl Off-Road Vehicles","001","","18","2.917","11.1","11.1","38.9","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"489","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"491","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","7","3.292","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Mech Engr Projects I","Course Total","","26","3.863","76.9","15.4",".","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"492
Mech Engr Projects II","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"508","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","Course Total","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fluid Power","001","","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","33","3.703","66.7","3.0","27.3",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"564
Heat Transfer","001","","32","3.516","34.4","40.6","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","15","3.269","20.0","33.3","13.3","13.3","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","66","3.197","13.6","21.2","59.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"601","002","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","79","3.272","20.3","21.5","53.2","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","15","3.930","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 132 of 404",""
