"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"FOLKLORE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","17","3.206","11.8","23.5","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103","001","","24","3.688","62.5","25.0","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","","20","2.650","5.0","15.0","35.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270","001","","8","2.500","12.5","12.5",".","25.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","10","3.278","30.0","50.0",".",".",".",".","10.0","10.0",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Folklore","431","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Sami Culture,Yesterday & Today","443","001","","33","3.563","45.5","36.4","6.1",".","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"Supernaturl in Modern World","451","001","","39","3.271","46.2","15.4","12.8","2.6","2.6","5.1","5.1","5.1",".",".",".",".","5.1",".",".","."
"Javanese Performance Repertory","453","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","001","","32","3.724","71.9","6.3","3.1","6.3",".","3.1",".","6.3",".",".",".",".",".",".",".","3.1"
"","530","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","003","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","16.7","16.7",".","."
"","530","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","","Course Total","","48","3.760","72.9","6.3","2.1","4.2",".","2.1",".","4.2",".",".",".",".","2.1","2.1",".","4.2"
