"","699
007","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
008","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
010","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"CHICLA
228","Dept. Total","165","3.299","40.0","18.2","19.4","14.5","6.1","0.6","1.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","2.197","10.0",".","10.0","20.0","50.0",".","10.0","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","43","3.257","27.9","23.3","25.6","20.9","2.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","50","3.522","54.0","22.0","14.0","6.0","2.0",".","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","59","3.300","39.0","15.3","22.0","16.9","5.1","1.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","162","3.287","38.9","18.5","19.8","14.8","6.2","0.6","1.2","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","165","3.299","40.0","18.2","19.4","14.5","6.1","0.6","1.2","",".","",".",".","",".","",".","",".",".",".","."
