"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"600","003","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"600","004","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","006","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"600","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","58","3.895","84.5","10.3",".","3.4",".",".",".","1.7",".",".",".",".",".",".",".","."
"601
Sys Thinking & Sustainable Bus","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","17","3.500","47.1","29.4","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"668
Green Pol:Glb Expr,Am Prosp","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"718
Water Res Mgt Pract Pl Smr","001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Local&Regional Sustainability","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"807
Prof Skills-Regnl & Local Sust","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","8","3.714","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"900","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","42","3.922","83.3","7.1","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"976
Conservtn Biol&Sustainable Dev","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
