"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","3186","3.572","52.2","20.3","15.0","5.4","2.6","0.3","0.2","1.9","",".","1.6",".","0.3","0.2",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","49","3.768","63.3","26.5","10.2",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","90","3.667","70.0","11.1","10.0","6.7",".","2.2",".",".","",".",".",".",".",".",".",".","."
"Senior","","154","3.788","81.8","4.5","5.2","4.5","1.3","0.6",".",".","",".","0.6",".",".","1.3",".",".","."
"Undergraduates","","305","3.736","73.8","10.8","8.2","4.3","1.0","1.0",".",".","",".","0.3",".",".","0.7",".",".","."
"Special","","3","3.500","33.3",".","33.3",".",".",".",".","33.3","",".",".",".",".",".",".",".","."
"Graduate","","164","3.935","37.2","2.4",".",".","0.6",".",".","28.7","",".","24.4",".","5.5","0.6",".","0.6","."
"Prof Yr 1","","657","3.243","40.6","19.5","21.3","9.3","7.9","0.3","0.2",".","",".","0.8",".",".","0.2",".",".","."
"Prof Yr 2","","929","3.467","46.2","23.3","20.3","7.5","1.9","0.4","0.1",".","",".","0.1",".",".","0.1",".",".","."
"Prof Yr 3","","868","3.587","54.3","25.9","13.4","3.0","0.9",".","0.5","1.6","",".","0.5",".",".",".",".",".","."
"Prof Yr 4","","260","3.882","80.0","15.8","3.1","0.8",".",".",".",".","",".",".",".",".","0.4",".",".","."
"Professionals","","2714","3.554","50.7","22.5","16.7","5.9","2.9","0.2","0.2","0.5","",".","0.4",".",".","0.1",".",".","."
"","College Total","3186","3.572","52.2","20.3","15.0","5.4","2.6","0.3","0.2","1.9","",".","1.6",".","0.3","0.2",".","0.0","."
