"","990
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","20","",".",".",".",".",".",".",".","65.0",".",".",".","35.0",".",".",".","."
"ART HIST
180","Dept. Total","813","3.396","36.9","19.4","14.9","5.3","4.3","1.5","1.2","12.3","0.2",".",".","1.1","2.2","0.2","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.026","33.9","15.3","20.3","6.8","11.9","8.5","3.4",".",".",".",".",".",".",".",".","."
"Sophomore","","153","3.353","42.5","18.3","21.6","7.2","6.5","1.3","2.0","0.7",".",".",".",".",".",".",".","."
"Junior","","157","3.395","37.6","29.9","16.6","5.7","3.8","1.9","1.3","1.9","1.3",".",".",".",".",".",".","."
"Senior","","253","3.422","40.3","24.1","19.0","7.5","4.0","0.8","0.8","2.0",".",".",".","0.4","0.8",".","0.4","."
"Undergraduates","","622","3.355","39.5","23.3","19.1","6.9","5.3","1.9","1.4","1.4","0.3",".",".","0.2","0.3",".","0.2","."
"Special","","87","3.763","3.4","3.4",".",".",".",".",".","87.4",".",".",".",".","2.3","2.3","1.1","."
"Graduate","","104","3.775","49.0","9.6","1.9",".","1.9",".","1.0","14.4",".",".",".","7.7","13.5",".","1.0","."
"","Dept. Total","813","3.396","36.9","19.4","14.9","5.3","4.3","1.5","1.2","12.3","0.2",".",".","1.1","2.2","0.2","0.4","."
