"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","159","3.806","70.4","18.9","8.8","0.6",".",".",".","1.3",".",".",".",".",".",".",".","."
"","002
301","97","3.776","70.1","18.6","5.2","5.2",".",".",".","1.0",".",".",".",".",".",".",".","."
"","301
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","281","3.813","73.0","17.1","6.8","2.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","150","3.644","55.3","23.3","15.3","4.7","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"","321
001","134","3.605","47.0","32.1","16.4","3.0",".","0.7",".","0.7",".",".",".",".",".",".",".","."
"","002
321","111","2.914","18.0","15.3","26.1","18.9","13.5","6.3","0.9",".",".",".",".",".","0.9",".",".","."
"Human Develop-Adolescence","Course Total","245","3.307","33.9","24.5","20.8","10.2","6.1","3.3","0.4","0.4",".",".",".",".","0.4",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","73","3.699","50.7","39.7","8.2","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Seminar-Research in Ed Psyc II","710
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","8","3.700","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","711
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","61","3.925","88.5","8.2",".","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Intro to Qualitative Research","719
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","761
001","60","3.946","83.3","10.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","761
002","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","84","3.919","81.0","13.1","1.2",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","26","3.920","80.8","15.4",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Preparation","944
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 90 of 404"
