"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"699","114","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"710
Mathematical Statistics","001","","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Lg Sample Thry-Stat Inference","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Survival Anal Thry & Mthds","001","","28","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Theory of Probability","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","002","","22","3.477","27.3","40.9","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"877
Statistical Methods-Molec Biol","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","250","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","58","",".",".",".",".",".",".",".","79.3",".",".",".","20.7",".",".",".","."
"992","001","","16","3.947","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","002","","14","3.956","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","30","3.951","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
