"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","74","2.979","16.2","27.0","21.6","9.5","20.3","1.4","1.4",".",".",".",".",".",".","1.4",".","1.4"
"","101
003","79","3.557","48.1","30.4","13.9","5.1","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"","101
004","75","3.073","20.0","22.7","28.0","16.0","10.7","2.7",".",".",".",".",".",".",".",".",".","."
"","005
101","75","3.209","17.3","29.3","33.3","14.7","4.0",".",".","1.3",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","303","3.212","25.7","27.4","24.1","11.2","8.9","1.0","0.7","0.3",".",".",".",".",".","0.3",".","0.3"
"","210
001","76","2.920","19.7","15.8","30.3","7.9","18.4","6.6",".",".",".",".",".",".",".","1.3",".","."
"","210
002","76","3.313","48.7","13.2","17.1","6.6","7.9","2.6","2.6",".",".",".",".",".",".",".","1.3","."
"","210
003","23","3.130","21.7","26.1","30.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","175","3.118","32.6","16.0","24.6","7.4","12.6","4.6","1.1",".",".",".",".",".",".","0.6","0.6","."
"","211
001","83","2.819","30.1","15.7","19.3","6.0","13.3","7.2","8.4",".",".",".",".",".",".",".",".","."
"","211
002","75","3.493","30.7","48.0","14.7","2.7","4.0",".",".",".",".",".",".",".",".",".",".","."
"","003
211","75","3.257","37.3","25.3","13.3","6.7","12.0","2.7","1.3","1.3",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","233","3.177","32.6","29.2","15.9","5.2","9.9","3.4","3.4","0.4",".",".",".",".",".",".",".","."
"","001
241","79","3.195","16.5","15.2","58.2","5.1","2.5",".",".","1.3",".",".",".",".",".",".","1.3","."
"","241
002","74","3.169","35.1","23.0","17.6","5.4","13.5","2.7","2.7",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","153","3.182","25.5","19.0","38.6","5.2","7.8","1.3","1.3","0.7",".",".",".",".",".",".","0.7","."
"Ethics in Business","243
001","76","3.400","17.1","56.6","19.7","3.9",".",".","1.3","1.3",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","304
001","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","163","3.453","23.3","49.1","19.0","6.7",".",".",".","1.8",".",".",".",".",".",".",".","."
"","341
002","80","3.625","56.3","20.0","20.0","2.5",".","1.3",".",".",".",".",".",".",".",".",".","."
"","341
003","79","3.474","32.9","36.7","20.3","5.1","2.5",".",".",".",".",".",".",".",".",".","2.5","."
"","341
093","20","3.675","60.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","20","3.789","60.0","30.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Contemporary Moral Issues","Course Total","383","3.536","37.9","36.8","18.0","5.0","0.5","0.3",".","0.8",".",".",".",".","0.3",".","0.5","."
"Hist of Ancient Philosophy","430
001","59","3.560","40.7","33.9","18.6","5.1",".",".",".",".",".",".",".",".",".","1.7",".","."
"History-Modern Philosophy","432
001","52","2.673","7.7","13.5","32.7","13.5","19.2","3.8","3.8","3.8",".",".",".",".","1.9",".",".","."
"19th Century Philosophers","433
001","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","14","3.654","50.0","21.4","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","464
002","23","3.409","34.8","26.1","21.7","8.7","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"","464
003","23","3.022","21.7","8.7","43.5","21.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","46","3.211","28.3","17.4","32.6","15.2","2.2",".","2.2",".",".",".",".",".",".","2.2",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","19","3.368","36.8","15.8","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Methods of Logic","512
001","19","3.421","15.8","57.9","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","16","3.375","31.3","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","12","3.042","16.7","8.3","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freedom Fate and Choice","530
001","22","3.500","40.9","27.3","18.2","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","25","3.180","28.0","28.0","12.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","22","3.568","50.0","18.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","24","3.370","29.2","25.0","29.2","12.5",".",".",".","4.2",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","21","3.190","19.0","28.6","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 275 of 404",""
