"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
001","11","2.636","27.3","18.2",".",".","36.4","18.2",".",".",".",".",".",".",".",".",".","."
"","102
002","15","3.600","66.7",".","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
102","12","2.792","8.3",".","58.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","13","3.462","53.8","23.1","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","51","3.167","41.2","9.8","23.5","3.9","15.7","5.9",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","24","3.375","41.7","12.5","37.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207
001","11","3.600","45.5","18.2","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Brazil Lit pre 1890","412
001","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Independent Reading","899
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","159","3.489","51.6","15.7","17.6","1.9","5.0","2.5",".","5.0",".",".",".","0.6",".",".",".","."
