"A Theme-Medieval Eng Lit","362
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Medieval Art","415
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
002","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Medieval Spanish Lit","718
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","34","3.446","41.2","20.6","23.5","5.9","",".","2.9","",".","2.9","",".",".","",".","",".","2.9",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","7","3.318","42.9","14.3","14.3","28.6","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","11","3.219","27.3","18.2","36.4",".","",".","9.1","",".",".","",".",".","",".","",".","9.1",".",".","."
"Senior","","","15","3.636","46.7","26.7","20.0",".","",".",".","",".","6.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","33","3.429","39.4","21.2","24.2","6.1","",".","3.0","",".","3.0","",".",".","",".","",".","3.0",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","34","3.446","41.2","20.6","23.5","5.9","",".","2.9","",".","2.9","",".",".","",".","",".","2.9",".",".","."
