"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","201
005","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
201","12","3.375","41.7","33.3",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","201
007","17","3.324","23.5","35.3","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
009","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","15","3.533","60.0",".","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","197","3.604","52.8","27.4","13.2","4.1","1.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"","203
001","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.735","70.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","61","3.861","82.0","13.1","1.6","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"British Literature Before 1750","215
001","122","3.143","27.0","24.6","21.3","13.9","10.7",".","2.5",".",".",".",".",".",".",".",".","."
"British&Anglo Lit 1750-Present","216
001","150","3.393","40.0","31.3","16.7","3.3","4.0","3.3","1.3",".",".",".",".",".",".",".",".","."
"American Literature","217
001","178","3.480","34.8","38.8","18.0","3.9","1.1","1.1","0.6",".",".",".",".",".","1.7",".",".","."
"Shakespearean Drama","220
001","142","3.113","9.9","38.0","28.9","15.5","5.6",".","1.4",".",".",".",".",".",".","0.7",".","."
"V Nabokov: Russ&Amer Writng","223
001","27","3.558","48.1","29.6","7.4","3.7","7.4",".",".",".",".",".",".",".","3.7",".",".","."
"Bascom Course","236
001","12","2.833","41.7","8.3","8.3","25.0",".",".","16.7",".",".",".",".",".",".",".",".","."
"Literature by Amer Ind Women","246
001","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248
001","26","3.788","73.1","19.2","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","300
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","62","3.871","74.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","13","3.500","38.5","15.4","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","301
003","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","15","3.179","20.0","60.0",".",".",".","6.7","6.7",".",".",".",".",".","6.7",".",".","."
"Intermediate Fiction Wrkshp","Course Total","58","3.607","56.9","22.4","12.1","1.7",".","1.7","1.7","1.7",".",".",".",".","1.7",".",".","."
"Intermediate Poetry Workshp","302
001","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","13","3.692","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307
001","15","3.233","26.7","40.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Advanced Composition","315
001","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Internship","318
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","324
001","38","3.189","18.4","36.8","26.3","5.3","5.3","5.3",".","2.6",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 205 of 404",""
