"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","165","2.994","26.1","3.6","45.5","4.8","15.2","3.6","1.2",".",".",".",".",".",".",".",".","."
"","300
002","193","2.995","23.8","5.7","46.1","4.7","16.1","2.1","1.6",".",".",".",".",".",".",".",".","."
"","300
010","91","3.286","42.9","12.1","27.5","5.5","8.8","1.1","2.2",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","449","3.053","28.5","6.2","42.1","4.9","14.3","2.4","1.6",".",".",".",".",".",".",".",".","."
"","305
001","66","3.211","22.7","15.2","43.9","10.6","4.5",".",".",".",".",".",".",".","1.5",".","1.5","."
"","305
002","44","2.895","15.9","11.4","38.6","9.1","20.5",".","2.3",".",".",".",".",".","2.3",".",".","."
"Human Resource Management","Course Total","110","3.084","20.0","13.6","41.8","10.0","10.9",".","0.9",".",".",".",".",".","1.8",".","0.9","."
"Social Entrepreneurship","321
001","27","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","56","3.264","14.3","41.1","28.6","10.7","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
365","9","3.167","22.2","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","39","3.564","43.6","35.9","12.8","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","2","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","38","3.474","10.5","73.7","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","20","3.425","50.0","20.0","5.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","422
001","23","3.500","39.1","39.1","17.4",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","422
002","32","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","55","3.573","41.8","38.2","18.2",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"","423
001","36","3.431","16.7","63.9","13.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","423
002","28","3.411","21.4","53.6","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","64","3.422","18.8","59.4","14.1","3.1","4.7",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","44","3.330","18.2","43.2","29.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","45","3.557","24.4","62.2","8.9","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"Intellectual Property Rights","540
001","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","37","3.878","75.7","24.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","Course Total","37","3.730","56.8","32.4","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","36","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","29","3.534","41.4","31.0","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","65","3.654","46.2","41.5","10.8",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","45","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","45","3.778","62.2","31.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","45","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","39","3.641","51.3","25.6","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","36","3.574","41.7","25.0","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","75","3.610","46.7","25.3","25.3",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 58 of 404"
