"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","148","2.727","14.9","12.8","23.6","6.8","32.4","2.7","2.0","2.0",".",".",".",".",".","0.7",".","2.0"
"","002
100","96","2.926","25.0","3.1","36.5","7.3","24.0","3.1",".",".",".",".",".",".",".",".",".","1.0"
"General Anthropology","Course Total","244","2.807","18.9","9.0","28.7","7.0","29.1","2.9","1.2","1.2",".",".",".",".",".","0.4",".","1.6"
"Archaeology & Prehist World","102
001","100","2.808","18.0","10.0","24.0","18.0","26.0","2.0","1.0","1.0",".",".",".",".",".",".",".","."
"","104
001","281","2.772","14.9","11.7","23.1","21.0","26.3","1.8","1.1",".",".",".",".",".",".",".",".","."
"","104
002","303","2.653","11.2","13.5","18.5","20.8","30.4","5.0","0.7",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","584","2.711","13.0","12.7","20.7","20.9","28.4","3.4","0.9",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105
001","171","3.312","35.7","25.7","18.1","9.4","8.2","2.3",".","0.6",".",".",".",".",".",".",".","."
"Principles of Archaeology","112
001","111","3.700","70.3","6.3","18.0","0.9","3.6",".",".","0.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","21","3.400","23.8","33.3","33.3","4.8",".",".",".",".",".",".",".",".",".","4.8",".","."
"Africa: Introductory Survey","277
001","29","3.017","10.3","27.6","41.4","10.3","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","20","2.925","20.0","25.0","10.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","12","3.083","50.0",".","25.0",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322
001","59","3.482","44.1","22.0","23.7",".","5.1","1.7",".","3.4",".",".",".",".",".",".",".","."
"","330
001","21","3.833","61.9","28.6",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","330
002","10","3.383","50.0","10.0","10.0",".","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"Topics in Ethnology","Course Total","31","3.688","58.1","22.6","3.2",".","6.5",".",".","3.2",".",".",".",".","6.5",".",".","."
"Elementary Quechua","362
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391
001","14","3.321","42.9","21.4","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","48","2.552","20.8","6.3","22.9","8.3","18.8","22.9",".",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","17","3.382","52.9","5.9","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"","490
001","18","3.528","27.8","50.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","15","3.467","66.7","6.7","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","003
490","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","49","3.571","51.0","28.6","14.3","4.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696
078","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Anthropological Theory","900
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
