"CIVIL AND ENVIRONMENTAL EN Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","63","3.198","12.7","31.7","41.3","11.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","95","2.849","10.5","7.4","46.3","17.9","11.6","4.2",".","1.1",".",".",".",".","1.1",".",".","."
"Hydroscience","311","001","61","3.074","11.5","29.5","27.9","24.6","6.6",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","73","3.301","28.8","21.9","38.4","2.7","8.2",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","21","3.625","38.1","42.9","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Soil Mechanics","330","001","60","2.873","11.7","21.7","31.7","13.3","15.0","1.7","3.3",".",".",".",".",".",".",".","1.7","."
"Structural Analysis I","340","001","64","3.164","18.8","28.1","28.1","17.2","7.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","14","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","62","3.177","24.2","11.3","51.6","1.6","11.3",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","112","3.125","24.1","20.5","25.0","17.0","13.4",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","18","3.278","22.2","38.9","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","25","3.240","32.0","20.0","28.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","20","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","48","2.885","12.5","39.6","18.8",".","14.6","14.6",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","38","3.829","68.4","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","14","3.393","35.7","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","49","3.698","51.0","40.8","2.0","2.0","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","498","002","30","3.733","56.7","36.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","79","3.712","53.2","39.2","2.5","2.5","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"Foundations","532","001","17","3.235","5.9","35.3","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","20","2.868","15.0","15.0","20.0","20.0","25.0",".",".",".",".",".",".",".","5.0",".",".","."
"Remote Sensing Digitl Image","556","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","32","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","58","3.552","53.4","13.8","25.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","25","3.500","28.0","40.0","28.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Microbio-Pathogens & Organisms","623","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","679","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","001","17","3.324","29.4","23.5","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","698","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","004","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
