"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"998","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"998","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"998","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","060","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"998","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","29","",".",".",".",".",".",".",".","72.4",".",".",".","27.6",".",".",".","."
